id,eigenkapital_2014,loehne_und_gehaelter_2014,gesamtbezuege_2014,anzahl_vorstaende_2014,jahresueberschuss_2014,anmerkungen_2014,eigenkapital_2013,loehne_und_gehaelter_2013,gesamtbezuege_2013,anzahl_vorstaende_2013,jahresueberschuss_2013,anmerkungen_2013,sparkasse,vergebene_kredite_2014,notleidende_kredite_2014,npl_quote_2014,vergebene_unternehmenskredite_2014,notleidende_unternehmenskredite_2014,npl_quote_unternehmen_2014,vergebene_privatkredite_2014,notleidende_privatkredite_2014,npl_quote_privat_2014,vergebene_kredite_2013,notleidende_kredite_2013,npl_quote_2013,vergebene_unternehmenskredite_2013,notleidende_unternehmenskredite_2013,npl_quote_unternehmen_2013,vergebene_privatkredite_2013,notleidende_privatkredite_2013,npl_quote_privat_2013,mitarbeiter_2013,mitarbeiter_2014,bilanzsumme_2013,bilanzsumme_2014,verband,state
234,132088867.0,14207377.0,,2.0,6235871.0,,125852996.0,13518360.0,,2.0,1165238.0,,Kreissparkasse Stade,1807682000.0,84065000.0,0.25,820442000.0,82794000.0,10.09,515624000.0,1271000.0,0.25,,,,,,,,,,368.0,373.0,1452000000.0,1483200000.0,SVN,Niedersachsen
235,94235917.0,16832673.0,,2.0,1541049.0,,92813868.0,16591872.0,,2.0,1597572.0,Spenden enthalten Volumen der Stiftung.,Kreissparkasse Peine,1801000000.0,19300000.0,1.11,325700000.0,10500000.0,3.22,795800000.0,8800000.0,1.11,,,,,,,,,,466.0,451.0,1448600000.0,1485600000.0,SVN,Niedersachsen
238,88583736.0,14500100.0,,2.0,4083325.0,,84500411.0,13531711.0,,2.0,3808341.0,,Sparkasse Barnim,1967220000.0,10160000.0,1.0,363090000.0,6340000.0,1.75,382820000.0,3820000.0,1.0,,,,,,,,,,366.0,358.0,1429300000.0,1483400000.0,OSV,Brandenburg
242,101461207.0,14007092.0,,2.0,3309477.0,,98501730.0,13106677.0,,2.0,3165101.0,,Kreissparkasse Rhein-Hunsrück,1714000000.0,22930000.0,0.99,674953000.0,17933000.0,2.66,505274000.0,4997000.0,0.99,,,,,,,,,,391.0,395.0,1428000000.0,1471000000.0,SVRP,Rheinland-Pfalz
248,102447668.0,17055000.0,,2.0,2447668.0,,100000000.0,16580366.0,,2.0,3458614.0,Spenden enthalten Volumen der Stiftung.,Sparkasse Goslar/Harz,1620000000.0,24600000.0,1.74,708100000.0,16400000.0,2.32,471800000.0,8200000.0,1.74,,,,,,,,,,419.0,418.0,1397000000.0,1420700000.0,SVN,Niedersachsen
255,112965559.0,12095435.0,,2.0,4236174.0,,109504385.0,11590201.0,,2.0,4161677.0,,Kreissparkasse Bersenbrück,1605430000.0,8226000.0,0.68,490872000.0,4492000.0,0.92,546677000.0,3734000.0,0.68,,,,,,,,,,364.0,362.0,1334413000.0,1365090000.0,SVN,Niedersachsen
257,84874769.0,11832895.0,,2.0,3596879.0,,81277890.0,11760506.0,,2.0,3489719.0,,Kreissparkasse Bitburg-Prüm,1609972000.0,30207000.0,1.49,512693000.0,23050000.0,4.5,479270000.0,7158000.0,1.49,,,,,,,,,,342.0,335.0,1335000000.0,1363200000.0,SVRP,Rheinland-Pfalz
258,78316464.0,14099497.0,,2.0,708785.0,,77607679.0,13960785.0,,2.0,1643951.0,,Kreissparkasse Osterholz,1555800000.0,18300000.0,1.29,336800000.0,10000000.0,2.97,644200000.0,8300000.0,1.29,,,,,,,,,,383.0,377.0,1311700000.0,1284700000.0,SVN,Niedersachsen
260,74752686.0,12627109.0,,2.0,2532659.0,Fusioniert zu Westerwald-Sieg,72220027.0,11977582.0,,2.0,2543539.0,"Kapital der Sparkassenstiftung 1,25 Mio.",Kreissparkasse Altenkirchen,1524351000.0,41375000.0,2.12,402592000.0,27958000.0,6.94,618685000.0,13111000.0,2.12,,,,,,,,,,351.0,346.0,1271000000.0,1285000000.0,SVRP,Rheinland-Pfalz
261,45294887.0,13228896.0,,2.0,298616.0,,44996271.0,12744642.0,,2.0,268464.0,,Sparkasse Wittenberg,1503287000.0,34034000.0,3.64,276857000.0,18486000.0,6.68,427023000.0,15548000.0,3.64,,,,,,,,,,324.0,301.0,1282337000.0,1292527669.0,OSV,Sachsen-Anhalt
